created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8,latitude,longitude,elevation,status
2024-10-14T22:10:33+00:00,1,5.89,7.35,,,,,,,,,,
2024-10-14T22:10:35+00:00,2,,,,,,,27.80,67.00,,,,
2024-10-14T22:10:37+00:00,3,,,716.26,0.33,,,,,,,,
2024-10-14T22:10:39+00:00,4,,,,,2809.30,1.67,,,,,,
2024-10-14T22:10:44+00:00,5,6.22,6.77,,,,,,,,,,
2024-10-14T22:10:46+00:00,6,,,,,,,27.80,67.00,,,,
2024-10-14T22:10:48+00:00,7,,,727.85,0.32,,,,,,,,
2024-10-14T22:10:50+00:00,8,,,,,2929.94,1.43,,,,,,
2024-10-14T22:10:55+00:00,9,6.28,6.69,,,,,,,,,,
2024-10-14T22:10:57+00:00,10,,,,,,,27.80,67.00,,,,
2024-10-14T22:10:59+00:00,11,,,732.97,0.31,,,,,,,,
2024-10-14T22:11:01+00:00,12,,,,,2816.40,1.66,,,,,,
2024-10-14T22:11:06+00:00,13,6.26,6.71,,,,,,,,,,
2024-10-14T22:11:08+00:00,14,,,,,,,27.80,67.00,,,,
2024-10-14T22:11:10+00:00,15,,,733.70,0.31,,,,,,,,
2024-10-14T22:11:12+00:00,16,,,,,2941.29,1.41,,,,,,
2024-10-14T22:11:17+00:00,17,6.34,6.58,,,,,,,,,,
2024-10-14T22:11:19+00:00,18,,,,,,,27.80,67.00,,,,
2024-10-14T22:11:21+00:00,19,,,754.50,0.29,,,,,,,,
2024-10-14T22:11:23+00:00,20,,,,,2945.09,1.40,,,,,,
2024-10-14T22:11:28+00:00,21,6.30,6.65,,,,,,,,,,
2024-10-14T22:11:30+00:00,22,,,,,,,27.80,67.00,,,,
2024-10-14T22:11:32+00:00,23,,,738.85,0.31,,,,,,,,
2024-10-14T22:11:34+00:00,24,,,,,2948.89,1.39,,,,,,
2024-10-14T22:11:39+00:00,25,6.30,6.65,,,,,,,,,,
2024-10-14T22:11:41+00:00,26,,,,,,,27.80,67.00,,,,
2024-10-14T22:11:43+00:00,27,,,743.30,0.30,,,,,,,,
2024-10-14T22:11:45+00:00,28,,,,,2948.89,1.39,,,,,,
2024-10-14T22:11:51+00:00,29,6.34,6.60,,,,,,,,,,
2024-10-14T22:11:53+00:00,30,,,,,,,27.80,67.00,,,,
2024-10-14T22:11:54+00:00,31,,,739.59,0.31,,,,,,,,
2024-10-14T22:11:56+00:00,32,,,,,2941.29,1.41,,,,,,
2024-10-14T22:12:01+00:00,33,6.36,6.56,,,,,,,,,,
2024-10-14T22:12:03+00:00,34,,,,,,,27.80,67.00,,,,
2024-10-14T22:12:06+00:00,35,,,741.07,0.30,,,,,,,,
2024-10-14T22:12:08+00:00,36,,,,,2956.52,1.38,,,,,,
2024-10-14T22:12:13+00:00,37,6.28,6.68,,,,,,,,,,
2024-10-14T22:12:15+00:00,38,,,,,,,27.80,67.00,,,,
2024-10-14T22:12:17+00:00,39,,,741.07,0.30,,,,,,,,
2024-10-14T22:12:19+00:00,40,,,,,2956.52,1.38,,,,,,
2024-10-14T22:12:24+00:00,41,6.29,6.66,,,,,,,,,,
2024-10-14T22:12:26+00:00,42,,,,,,,27.80,67.00,,,,
2024-10-14T22:12:28+00:00,43,,,741.07,0.30,,,,,,,,
2024-10-14T22:12:30+00:00,44,,,,,2948.89,1.39,,,,,,
2024-10-14T22:12:35+00:00,45,6.74,6.02,,,,,,,,,,
2024-10-14T22:12:37+00:00,46,,,,,,,27.80,67.00,,,,
2024-10-14T22:12:39+00:00,47,,,741.07,0.30,,,,,,,,
2024-10-14T22:12:41+00:00,48,,,,,2960.35,1.37,,,,,,
2024-10-14T22:12:46+00:00,49,6.75,6.00,,,,,,,,,,
2024-10-14T22:12:48+00:00,50,,,,,,,27.80,67.00,,,,
2024-10-14T22:12:50+00:00,51,,,741.81,0.30,,,,,,,,
2024-10-14T22:12:52+00:00,52,,,,,2956.52,1.38,,,,,,
2024-10-14T22:12:57+00:00,53,6.79,5.96,,,,,,,,,,
2024-10-14T22:12:59+00:00,54,,,,,,,27.80,67.00,,,,
2024-10-14T22:13:01+00:00,55,,,743.30,0.30,,,,,,,,
2024-10-14T22:13:03+00:00,56,,,,,2964.18,1.37,,,,,,
2024-10-14T22:13:08+00:00,57,6.81,5.93,,,,,,,,,,
2024-10-14T22:13:10+00:00,58,,,,,,,27.80,67.00,,,,
2024-10-14T22:13:12+00:00,59,,,741.07,0.30,,,,,,,,
2024-10-14T22:13:14+00:00,60,,,,,2960.35,1.37,,,,,,
2024-10-14T22:13:19+00:00,61,6.78,5.97,,,,,,,,,,
2024-10-14T22:13:21+00:00,62,,,,,,,27.80,67.00,,,,
2024-10-14T22:13:23+00:00,63,,,741.81,0.30,,,,,,,,
2024-10-14T22:13:25+00:00,64,,,,,2960.35,1.37,,,,,,
2024-10-14T22:13:31+00:00,65,6.75,6.00,,,,,,,,,,
2024-10-14T22:13:32+00:00,66,,,,,,,27.80,67.00,,,,
2024-10-14T22:13:34+00:00,67,,,744.04,0.30,,,,,,,,
2024-10-14T22:13:36+00:00,68,,,,,2945.09,1.40,,,,,,
2024-10-14T22:13:41+00:00,69,6.79,5.95,,,,,,,,,,
2024-10-14T22:13:44+00:00,70,,,,,,,27.80,67.00,,,,
2024-10-14T22:13:46+00:00,71,,,744.78,0.30,,,,,,,,
2024-10-14T22:13:48+00:00,72,,,,,2956.52,1.38,,,,,,
2024-10-14T22:13:53+00:00,73,6.75,6.00,,,,,,,,,,
2024-10-14T22:13:55+00:00,74,,,,,,,27.80,67.00,,,,
2024-10-14T22:13:57+00:00,75,,,746.27,0.30,,,,,,,,
2024-10-14T22:13:59+00:00,76,,,,,2971.87,1.35,,,,,,
2024-10-14T22:14:04+00:00,77,6.83,5.91,,,,,,,,,,
2024-10-14T22:14:06+00:00,78,,,,,,,27.80,67.00,,,,
2024-10-14T22:14:08+00:00,79,,,746.27,0.30,,,,,,,,
2024-10-14T22:14:10+00:00,80,,,,,2960.35,1.37,,,,,,
2024-10-14T22:14:15+00:00,81,6.90,5.81,,,,,,,,,,
2024-10-14T22:14:17+00:00,82,,,,,,,27.80,67.00,,,,
2024-10-14T22:14:19+00:00,83,,,748.51,0.30,,,,,,,,
2024-10-14T22:14:21+00:00,84,,,,,2964.18,1.37,,,,,,
2024-10-14T22:14:26+00:00,85,6.75,6.00,,,,,,,,,,
2024-10-14T22:14:28+00:00,86,,,,,,,27.80,67.00,,,,
2024-10-14T22:14:30+00:00,87,,,756.76,0.29,,,,,,,,
2024-10-14T22:14:32+00:00,88,,,,,2956.52,1.38,,,,,,
2024-10-14T22:14:38+00:00,89,6.87,5.85,,,,,,,,,,
2024-10-14T22:14:39+00:00,90,,,,,,,27.80,67.00,,,,
2024-10-14T22:14:41+00:00,91,,,750.75,0.30,,,,,,,,
2024-10-14T22:14:43+00:00,92,,,,,2819.96,1.65,,,,,,
2024-10-14T22:14:48+00:00,93,6.79,5.96,,,,,,,,,,
2024-10-14T22:14:50+00:00,94,,,,,,,27.80,67.00,,,,
2024-10-14T22:14:52+00:00,95,,,743.30,0.30,,,,,,,,
2024-10-14T22:14:54+00:00,96,,,,,2964.18,1.37,,,,,,
2024-10-14T22:14:59+00:00,97,6.75,6.00,,,,,,,,,,
2024-10-14T22:15:01+00:00,98,,,,,,,27.80,67.00,,,,
2024-10-14T22:15:03+00:00,99,,,749.25,0.30,,,,,,,,
2024-10-14T22:15:05+00:00,100,,,,,2971.87,1.35,,,,,,
2024-10-14T22:15:11+00:00,101,6.75,6.00,,,,,,,,,,
2024-10-14T22:15:12+00:00,102,,,,,,,27.80,67.00,,,,
2024-10-14T22:15:14+00:00,103,,,745.52,0.30,,,,,,,,
2024-10-14T22:15:16+00:00,104,,,,,2937.50,1.42,,,,,,
2024-10-14T22:15:21+00:00,105,6.75,6.00,,,,,,,,,,
2024-10-14T22:15:24+00:00,106,,,,,,,27.80,67.00,,,,
2024-10-14T22:15:26+00:00,107,,,748.51,0.30,,,,,,,,
2024-10-14T22:15:28+00:00,108,,,,,2956.52,1.38,,,,,,
2024-10-14T22:15:33+00:00,109,6.70,6.08,,,,,,,,,,
2024-10-14T22:15:35+00:00,110,,,,,,,27.80,67.00,,,,
2024-10-14T22:15:37+00:00,111,,,751.50,0.30,,,,,,,,
2024-10-14T22:15:39+00:00,112,,,,,2948.89,1.39,,,,,,
2024-10-14T22:15:44+00:00,113,6.75,6.00,,,,,,,,,,
2024-10-14T22:15:46+00:00,114,,,,,,,27.80,67.00,,,,
