Temperature,Ratio_30%,Ratio_60%,Ratio_85%
-10, 1.70451467268623, 1.4516930022573362, 1.2557562076749433
-5.121951219512194, 1.6257281286131144, 1.3760777404613775, 1.1990970654627537
0, 1.5911963882618507, 1.3478665418708362, 1.1740461377525735
5, 1.496613995485327, 1.2754005395584427, 1.1015911468369761
10, 1.4241534988713316, 1.2155921378626875, 1.0480867698067498
15, 1.3074492099322796, 1.1115234267466827, 0.953515388427022
19.999999999999993, 1.2507900677200898, 1.0643450971755766, 0.9189726366789623
25.12195121951219, 1.175174805924131, 1.0045256840830254, 0.8749545779882175
30.000000000000007, 1.1564334085778778, 0.9826295215548091, 0.8530474040632052
34.99999999999999, 1.112415349887133, 0.9449375103231843, 0.8216814402907007
40.12195121951219, 0.99887683752684, 0.8566701536089849, 0.7334140835765015
45.12195121951219, 0.9295766117932054, 0.7936904696360731, 0.6854180476793479
50.12195121951219, 0.8697571987006549, 0.7433518691846057, 0.6423889775918074
